group,pattern,SHDC,HCP,n,Bid,Loss,StDev
 0, 0,0-0-0-13, 10, 100,7C, 0, 0
 0, 1,0-0-1-12, 6, 100,6C,-4.07, 5.48
 0, 1,0-0-1-12, 7, 100,7C,-2.42, 4.11
 0, 1,0-0-1-12, 8, 100,7C,-3.400001, 4.52
 0, 1,0-0-1-12, 9, 100,7C,-2.68, 4.03
 0, 1,0-0-1-12, 10, 100,7C,-2.18, 3.83
 0, 1,0-0-1-12, 11, 100,7C,-2.64, 3.97
 0, 1,0-0-1-12, 12, 100,7C,-2.83, 4.4
 0, 1,0-0-1-12, 13, 100,7C,-3.209999, 4.41
 0, 1,0-0-1-12, 14, 100,7C,-.03, .3
 0, 2,0-1-0-12, 6, 100,7C,-4.019999, 4.78
 0, 2,0-1-0-12, 7, 100,7C,-3.1, 4.26
 0, 2,0-1-0-12, 8, 100,7C,-3.31, 4.29
 0, 2,0-1-0-12, 9, 100,7C,-2.87, 4.2
 0, 2,0-1-0-12, 10, 100,7C,-2.809999, 4.04
 0, 2,0-1-0-12, 11, 100,7C,-2.62, 4.26
 0, 2,0-1-0-12, 12, 100,7C,-2.89, 4.38
 0, 2,0-1-0-12, 13, 100,7C,-3.42, 4.33
 0, 2,0-1-0-12, 14, 100,7C,-1.24, 3.63
 0, 3,1-0-0-12, 6, 100,6C,-4.349999, 5.27
 0, 3,1-0-0-12, 7, 100,7C,-2.89, 3.94
 0, 3,1-0-0-12, 8, 100,7C,-3.48, 4.67
 0, 3,1-0-0-12, 9, 100,7C,-3.450001, 4.53
 0, 3,1-0-0-12, 10, 100,7C,-2.55, 4
 0, 3,1-0-0-12, 11, 100,7C,-3.32, 4.74
 0, 3,1-0-0-12, 12, 100,7C,-4.12, 4.81
 0, 3,1-0-0-12, 13, 100,7C,-2.919999, 4.05
 0, 3,1-0-0-12, 14, 100,7C,-1, 3.26
 0, 4,0-0-2-11, 3, 100,7C,-4.64, 4.85
 0, 4,0-0-2-11, 4, 100,6C,-4.24, 4.45
 0, 4,0-0-2-11, 5, 100,7C,-4.74, 5.02
 0, 4,0-0-2-11, 6, 100,7C,-4.609999, 4.66
 0, 4,0-0-2-11, 7, 100,7C,-4.5, 4.66
 0, 4,0-0-2-11, 8, 100,7C,-4.04, 4.7
 0, 4,0-0-2-11, 9, 100,7C,-3.79, 4.35
 0, 4,0-0-2-11, 10, 100,7C,-3.34, 4.35
 0, 4,0-0-2-11, 11, 100,7C,-4.07, 4.28
 0, 4,0-0-2-11, 12, 100,7C,-3.81, 4.9
 0, 4,0-0-2-11, 13, 100,6C,-4.669999, 4.63
 0, 4,0-0-2-11, 14, 100,7C,-3.87, 5.43
 0, 4,0-0-2-11, 15, 100,6C,-4.829999, 4.68
 0, 4,0-0-2-11, 16, 100,7C,-4.23, 5.63
 0, 4,0-0-2-11, 17, 100,7C,-.8599998, 2.96
 0, 5,0-1-1-11, 3, 100,6C,-4.41, 4.58
 0, 5,0-1-1-11, 4, 100,6C,-3.440001, 4.54
 0, 5,0-1-1-11, 5, 100,6C,-3.9, 4.83
 0, 5,0-1-1-11, 6, 100,7C,-5.209999, 4.8
 0, 5,0-1-1-11, 7, 100,6C,-4.919998, 5.35
 0, 5,0-1-1-11, 8, 100,6C,-4.310001, 5.03
 0, 5,0-1-1-11, 9, 100,6C,-4.240001, 5.26
 0, 5,0-1-1-11, 10, 100,6C,-4.639998, 5.15
 0, 5,0-1-1-11, 11, 100,6C,-3.179999, 4.84
 0, 5,0-1-1-11, 12, 100,6C,-4.080001, 5.11
